"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"","","R16","2.2k","jlcpcb-basic-resistor-0402:2.2k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF2201TCE_C25879.pdf","","","C25879","","","UNI-ROYAL(Uniroyal Elec)","0402WGF2201TCE","","",""
"","","R17","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
"","","R18","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
"","","R19","0","jlcpcb-basic-resistor-0402:0","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110251730_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf","","","C17168","","","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","","",""
"","","R20","0","jlcpcb-basic-resistor-0402:0","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110251730_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf","","","C17168","","","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","","",""
"","","R21","0","jlcpcb-basic-resistor-0402:0","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110251730_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf","","","C17168","","","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","","",""
"","","R22","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R23","5.1k","jlcpcb-basic-resistor-0402:5.1k","R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf","","","C25905","","","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","","",""
"","","R24","5.1k","jlcpcb-basic-resistor-0402:5.1k","R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf","","","C25905","","","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","","",""
"","","U1","74HC595","tom-semiconductors:74HC595","tom-semiconductors:SOIC-16_4.55x10.3mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","C5947","","","","","","",""
"","","U2","FT4232H","tom-semiconductors:FT4232H","tom-semiconductors:TQFP-64_10x10mm_P0.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT4232H.pdf","","","DNP","","","","","","",""
